# SHiP HNL |Utau|^2 projection
# Flavor scenario: single-flavor dominance in Utau
# Source: arXiv:1811.00930  -- Current SHiP
# Pulled from HNLimits bundle (SHiP/Utau4.dat)
# Format: blank line separates lower edge from upper edge.
# mass_GeV  U2
# lower edge
1.08148e-01  1.62632e-06
1.17037e-01  1.23173e-06
1.22963e-01  8.53168e-07
1.34815e-01  6.65696e-07
1.82222e-01  7.06542e-07
2.29630e-01  7.27895e-07
2.77037e-01  7.06542e-07
2.88889e-01  5.79337e-07
3.06667e-01  4.38774e-07
3.21481e-01  3.52707e-07
3.42222e-01  2.56734e-07
3.68889e-01  1.81393e-07
3.89630e-01  1.36026e-07
4.22222e-01  9.61078e-08
4.60741e-01  6.79042e-08
4.87407e-01  5.24599e-08
5.19866e-01  4.13556e-08
5.45784e-01  3.55818e-08
5.69187e-01  3.06039e-08
5.99558e-01  2.64363e-08
6.27300e-01  2.29091e-08
6.59885e-01  1.99898e-08
6.93362e-01  1.74188e-08
7.31811e-01  1.50773e-08
7.71028e-01  1.31660e-08
8.14490e-01  1.15319e-08
8.65673e-01  1.01589e-08
9.19072e-01  9.09260e-09
9.83723e-01  8.31901e-09
1.04573e+00  7.75832e-09
1.10774e+00  7.69875e-09
1.16975e+00  7.85013e-09
1.23176e+00  8.09594e-09
1.29377e+00  8.14535e-09
1.35578e+00  8.47915e-09
1.42205e+00  9.13482e-09
1.47817e+00  1.01142e-08
1.51976e+00  1.18737e-08
1.54943e+00  1.39279e-08
1.57198e+00  1.60386e-08
1.59263e+00  1.86682e-08
1.60547e+00  2.19016e-08
1.61764e+00  2.65517e-08
1.62478e+00  3.14132e-08
1.63646e+00  3.69426e-08
1.64752e+00  4.53715e-08
1.65584e+00  5.53845e-08
1.65807e+00  6.89771e-08
1.66508e+00  8.37822e-08
1.66582e+00  9.52297e-08
1.66674e+00  1.08301e-07
1.66776e+00  1.44847e-07
1.66970e+00  1.66312e-07
1.68086e+00  1.99805e-07
1.74333e+00  2.11252e-07
1.80667e+00  2.05224e-07
1.85456e+00  1.80157e-07
1.90875e+00  1.62106e-07
1.97587e+00  1.47170e-07
2.03788e+00  1.34441e-07
2.09989e+00  1.23863e-07
2.16190e+00  1.13701e-07
2.22425e+00  1.01209e-07
2.28591e+00  9.08153e-08
2.34792e+00  8.28928e-08
2.40993e+00  7.64328e-08
2.47194e+00  7.01055e-08
2.53395e+00  6.39638e-08
2.59596e+00  5.85974e-08
2.64316e+00  5.09821e-08
2.69427e+00  4.72926e-08
2.75486e+00  4.56217e-08
2.81687e+00  4.35598e-08
2.87888e+00  4.13388e-08
2.94088e+00  3.85058e-08
3.00289e+00  3.54905e-08
3.06490e+00  3.28710e-08
3.12691e+00  3.05191e-08
3.18892e+00  2.84390e-08
3.25093e+00  2.65977e-08
3.31294e+00  2.51190e-08
3.37495e+00  2.37803e-08
3.43696e+00  2.30863e-08
3.49897e+00  2.30583e-08
3.56098e+00  2.30209e-08
3.62298e+00  2.23491e-08
3.68499e+00  2.13564e-08
3.74700e+00  2.04409e-08
3.80901e+00  1.95805e-08
3.87102e+00  1.87183e-08
3.93303e+00  1.79523e-08
3.99504e+00  1.72736e-08
4.05705e+00  1.67559e-08
4.11906e+00  1.64128e-08
4.18107e+00  1.64929e-08
4.24308e+00  1.72946e-08
4.30682e+00  1.86760e-08
4.36822e+00  2.09814e-08
4.42100e+00  2.41943e-08
4.45647e+00  2.87989e-08
4.48447e+00  3.30276e-08
4.50177e+00  3.82359e-08
4.51800e+00  4.50515e-08
4.53330e+00  5.36694e-08
4.53762e+00  6.28169e-08
4.54963e+00  9.61078e-08
4.56148e+00  2.19037e-07

# upper edge
3.35852e+00  9.70664e-06
3.44741e+00  7.64928e-06
3.52600e+00  6.31783e-06
3.57153e+00  5.84080e-06
3.62298e+00  5.37979e-06
3.68499e+00  4.82947e-06
3.74700e+00  4.33018e-06
3.80901e+00  3.86992e-06
3.91258e+00  3.12544e-06
4.00822e+00  2.55191e-06
4.05535e+00  2.28011e-06
4.10821e+00  2.06790e-06
4.20432e+00  1.74097e-06
4.26633e+00  1.57115e-06
4.32662e+00  1.39249e-06
4.37269e+00  1.23359e-06
4.41901e+00  1.11987e-06
4.45266e+00  9.92304e-07
4.48530e+00  8.69032e-07
4.50855e+00  7.55359e-07
4.52137e+00  6.54158e-07
4.53536e+00  5.56588e-07
4.54343e+00  4.80390e-07
4.55259e+00  4.13408e-07
4.55556e+00  1.65893e-07
4.55556e+00  2.27908e-07
4.55852e+00  1.17210e-07
