# ANUBIS projected HNL sensitivity, BC6/electron-coupled
# Source: arXiv:2606.26862v1, Fig. 4 solid red total contour
# Source figure PDF: sources/arXiv-2606.26862v1/img/HNL_electron_ANUBIS_Combination_total_sigEff0p5.pdf
# Method: vector extraction from standalone Matplotlib PDF path operators with log-axis calibration
# Scenario: minimal Majorana HNL, exclusive single-flavor coupling
# Note: latest paper studies electron and muon couplings only; tau is future work.
# mass_GeV  U2
2.00000069e-01  9.98114718e-01
2.00000069e-01  1.15286154e-03
2.03685723e-01  8.73169095e-04
2.11545236e-01  6.87398959e-04
2.20776102e-01  5.62735596e-04
2.33435899e-01  4.73723135e-04
2.44457882e-01  4.03809727e-04
2.58700950e-01  3.49207877e-04
3.27362290e-01  1.84947212e-04
3.43980690e-01  1.55097642e-04
3.63200063e-01  1.31073855e-04
3.83369979e-01  1.11801635e-04
4.05361405e-01  9.20008364e-05
4.24180946e-01  8.08038531e-05
4.45666648e-01  6.47341888e-05
4.70147221e-01  5.41731152e-05
4.90968704e-01  4.37063156e-05
5.20561659e-01  3.38641525e-05
5.48593661e-01  2.65025544e-05
6.33767423e-01  1.41437522e-05
6.68318353e-01  1.17816205e-05
7.07500617e-01  9.49399291e-06
7.47300230e-01  7.81145680e-06
7.94124296e-01  6.41943605e-06
8.38544349e-01  5.41559690e-06
8.91085704e-01  4.45052425e-06
9.44761733e-01  3.76301655e-06
1.00777884e+00  3.09244622e-06
1.12973892e+00  2.23176562e-06
1.20052549e+00  1.90748308e-06
1.27574695e+00  1.59863773e-06
1.35509200e+00  1.35942231e-06
1.43999862e+00  1.11717449e-06
1.52442332e+00  9.36289984e-07
1.60767940e+00  7.84691864e-07
1.70841308e+00  6.70677338e-07
1.80857326e+00  5.51160239e-07
1.92079823e+00  4.60560134e-07
2.04155529e+00  3.81603900e-07
2.16124681e+00  3.13602434e-07
2.29143462e+00  2.60771525e-07
2.41116209e+00  2.18810630e-07
2.54679917e+00  1.87016759e-07
2.69611373e+00  1.53690334e-07
2.83258252e+00  1.28805948e-07
2.98725375e+00  1.10096955e-07
3.15040098e+00  9.22703781e-08
3.31501385e+00  7.74227816e-08
3.77198727e+00  5.76792087e-08
4.00556322e+00  4.98732696e-08
4.25654023e+00  4.34714849e-08
4.52323973e+00  3.94084153e-08
4.79587791e+00  3.27245094e-08
5.03862682e+00  2.68930318e-08
5.33403304e+00  2.25387139e-08
5.60910325e+00  1.99530041e-08
5.92394142e+00  1.90745530e-08
6.31953442e+00  1.87886799e-08
6.67822212e+00  2.00261817e-08
6.73605076e+00  2.67219796e-08
6.73605076e+00  3.52616883e-08
6.56800318e+00  4.75414205e-08
6.34006689e+00  6.27060940e-08
6.26267730e+00  8.39443728e-08
6.08889159e+00  1.12616515e-07
5.87513346e+00  1.56170715e-07
5.67535613e+00  2.02028065e-07
5.34007746e+00  3.58884429e-07
5.17353192e+00  4.66416667e-07
5.01797507e+00  6.13234224e-07
4.82614208e+00  8.23623032e-07
4.65511361e+00  1.07159783e-06
4.51066783e+00  1.38828252e-06
4.33613512e+00  1.89887357e-06
4.15724008e+00  2.57410625e-06
4.02308724e+00  3.32516306e-06
3.89386631e+00  4.12737600e-06
3.74977665e+00  5.58287634e-06
3.62967375e+00  7.33029534e-06
3.50871604e+00  9.89463822e-06
3.28267786e+00  1.86328717e-05
3.17156717e+00  2.53334695e-05
3.07225859e+00  3.45674536e-05
2.95665688e+00  4.74682843e-05
2.84120446e+00  6.44184306e-05
2.74322246e+00  8.57309988e-05
2.53900161e+00  1.39185407e-04
2.42609608e+00  1.77549861e-04
2.33266934e+00  2.21794202e-04
2.14532977e+00  3.45227288e-04
2.06610987e+00  4.26146744e-04
1.96924402e+00  5.48211623e-04
1.88168472e+00  7.08183794e-04
1.80835802e+00  8.69274300e-04
1.73021950e+00  1.12298705e-03
1.66592169e+00  1.48235674e-03
1.59626628e+00  1.97840464e-03
1.53689849e+00  2.70648155e-03
1.44469880e+00  4.70432348e-03
1.39746387e+00  6.15726468e-03
1.34585392e+00  8.22632088e-03
1.29690524e+00  1.11700264e-02
1.24755393e+00  1.52280754e-02
1.16602651e+00  2.80532228e-02
1.11879429e+00  3.79500539e-02
1.07947074e+00  4.99103297e-02
1.04108191e+00  6.53734356e-02
1.00141966e+00  8.46452181e-02
9.61547337e-01  1.08929244e-01
9.23545743e-01  1.38516801e-01
8.42950115e-01  2.30626915e-01
8.06130623e-01  2.88290557e-01
7.66503341e-01  3.54334088e-01
7.34443394e-01  4.45453789e-01
6.64300825e-01  6.95420330e-01
6.37743631e-01  8.36690247e-01
6.06011450e-01  9.84995370e-01
