# ANUBIS projected HNL sensitivity, BC7/muon-coupled
# Source: arXiv:2606.26862v1, Fig. 4 solid red total contour
# Source figure PDF: sources/arXiv-2606.26862v1/img/HNL_muon_ANUBIS_Combination_total_sigEff0p5.pdf
# Method: vector extraction from standalone Matplotlib PDF path operators with log-axis calibration
# Scenario: minimal Majorana HNL, exclusive single-flavor coupling
# Note: latest paper studies electron and muon couplings only; tau is future work.
# mass_GeV  U2
2.00000021e-01  9.78905427e-01
2.00000021e-01  1.19424307e-02
2.02726334e-01  8.80528651e-03
2.09142474e-01  6.79913119e-03
2.16869035e-01  5.22531794e-03
2.26376882e-01  4.11035459e-03
2.36800073e-01  3.37116581e-03
2.48387497e-01  2.65442276e-03
2.61256898e-01  2.11106160e-03
2.74904200e-01  1.63443331e-03
2.87958747e-01  1.26669580e-03
2.98682315e-01  9.86418702e-04
3.02351051e-01  7.63750166e-04
3.13980950e-01  4.11980100e-04
3.23074535e-01  3.12602234e-04
3.45589324e-01  1.88515458e-04
3.61409022e-01  1.54031836e-04
3.83485868e-01  1.27324226e-04
3.98566675e-01  1.01182550e-04
4.13265516e-01  7.63463605e-05
4.28907470e-01  5.82727333e-05
4.43846528e-01  4.50239257e-05
4.60810490e-01  3.44800078e-05
4.79547909e-01  2.65754287e-05
4.99046482e-01  2.10355245e-05
5.22522616e-01  1.70797423e-05
5.46101186e-01  1.41254749e-05
5.72948786e-01  1.16531769e-05
6.04511264e-01  9.71620950e-06
6.38977123e-01  8.13626514e-06
7.16218828e-01  5.90264822e-06
7.58231364e-01  5.19835699e-06
9.49552730e-01  3.01713924e-06
1.00386448e+00  2.70541928e-06
1.12486501e+00  2.05310099e-06
1.19220033e+00  1.78812413e-06
1.27322317e+00  1.54082602e-06
1.34568046e+00  1.30222619e-06
1.43059274e+00  1.13434597e-06
1.52081700e+00  9.70862592e-07
1.61148330e+00  8.29892926e-07
1.69884464e+00  6.92725000e-07
1.79957194e+00  5.99388334e-07
2.02615114e+00  4.05747240e-07
2.13301076e+00  3.53312750e-07
2.24956472e+00  2.87328514e-07
2.38495898e+00  2.39797791e-07
2.51538792e+00  2.01566802e-07
2.92340825e+00  1.18830398e-07
3.24544202e+00  8.55027397e-08
3.41536247e+00  7.30497917e-08
3.85357569e+00  5.51220575e-08
4.11717822e+00  4.87625193e-08
4.35505423e+00  4.30252784e-08
4.62154922e+00  3.73498110e-08
4.87717609e+00  3.08546290e-08
5.13200698e+00  2.50441313e-08
5.44950004e+00  2.12379127e-08
5.75823245e+00  1.95719099e-08
6.11834584e+00  1.88829674e-08
6.40595533e+00  1.88829674e-08
6.76349776e+00  2.08724811e-08
6.76349776e+00  2.79396478e-08
6.58651638e+00  3.59398933e-08
6.48699933e+00  6.26270287e-08
6.31802542e+00  7.97949644e-08
5.71570956e+00  1.79220178e-07
5.52247802e+00  2.34852853e-07
5.33014378e+00  3.05009970e-07
5.14692509e+00  4.11891509e-07
4.94622463e+00  5.38819614e-07
4.78046472e+00  7.22445059e-07
4.62111017e+00  9.41384407e-07
4.33008376e+00  1.60985539e-06
4.19923486e+00  2.13796301e-06
4.05919466e+00  2.88204689e-06
3.91462139e+00  3.77698244e-06
3.68683472e+00  6.62572442e-06
3.55419738e+00  8.84120687e-06
3.42752482e+00  1.19034965e-05
3.30867575e+00  1.56170858e-05
3.19096140e+00  2.03548138e-05
3.09424322e+00  2.64671138e-05
2.99775269e+00  3.35107015e-05
2.89298703e+00  4.30973358e-05
2.78587850e+00  5.74836294e-05
2.69036677e+00  7.69840860e-05
2.60619796e+00  9.92806373e-05
2.53866566e+00  1.30847825e-04
2.44454380e+00  1.77183191e-04
2.37405325e+00  2.36383461e-04
2.29170731e+00  3.19865719e-04
2.23912488e+00  4.19876390e-04
2.08908787e+00  7.51284375e-04
2.00300578e+00  9.70679003e-04
1.92477668e+00  1.26173807e-03
1.84168286e+00  1.62999371e-03
1.76410377e+00  2.07718943e-03
1.69221368e+00  2.60870294e-03
1.60992789e+00  3.26778555e-03
1.53195882e+00  4.21379364e-03
1.47224130e+00  5.28412441e-03
1.40185145e+00  6.81005785e-03
1.29555047e+00  1.11638357e-02
1.26654965e+00  1.48607933e-02
1.23007499e+00  2.02425465e-02
1.19637907e+00  2.80496224e-02
1.15924652e+00  3.80862713e-02
1.11966032e+00  5.09247657e-02
1.08810745e+00  6.61899074e-02
1.04150329e+00  8.53995947e-02
1.00212061e+00  1.09308590e-01
9.63945927e-01  1.45633467e-01
9.23006381e-01  1.89154012e-01
8.86862415e-01  2.44634308e-01
8.50495004e-01  3.15771939e-01
8.15619989e-01  3.99669521e-01
7.85157840e-01  5.05859270e-01
7.20987190e-01  7.87626718e-01
6.88803108e-01  9.96834430e-01
