# ANUBIS-ceiling hadronic/meson HNL sensitivity, electron-coupled
# Source: arXiv:2512.13011, Fig. 1 solid dark-blue ANUBIS-ceiling contour
# Method: vector extraction from arXiv source Matplotlib PDF path operators with log-axis calibration
# Scenario: minimal HNL mixed with electron neutrino only; charm/bottom meson production only
# Caveat: paper notes muon-only sensitivity is similar apart from threshold effects, but does not plot a muon curve.
# mass_GeV  U2
1.00000000e-01  5.14003340e-06
1.00271381e-01  1.90471528e-06
1.00805976e-01  1.54246376e-06
1.00829525e-01  1.24910629e-06
1.01516780e-01  1.08571035e-06
1.02406711e-01  1.01154178e-06
1.02454392e-01  6.63365919e-07
1.03056565e-01  6.25405444e-07
1.04619712e-01  5.73135817e-07
1.07111638e-01  5.37202543e-07
1.07136683e-01  4.35033285e-07
1.11113000e-01  3.74027192e-07
1.12811691e-01  3.52295740e-07
1.14509241e-01  3.26864308e-07
1.16246100e-01  3.10554551e-07
1.18009291e-01  2.99280361e-07
1.21428350e-01  2.85293461e-07
1.21616335e-01  2.30573741e-07
1.27234653e-01  2.17879397e-07
1.47204889e-01  1.87094556e-07
1.50148728e-01  1.78051836e-07
1.54738122e-01  1.68516101e-07
1.59467811e-01  1.61947630e-07
1.66834756e-01  1.55202514e-07
1.74542032e-01  1.49312103e-07
2.00220572e-01  1.22696022e-07
2.05975836e-01  1.05750537e-07
2.09100036e-01  9.78651961e-08
2.23779097e-01  8.04636655e-08
2.25446405e-01  7.80849817e-08
2.28865930e-01  7.44803239e-08
2.35861367e-01  6.99802993e-08
2.43070650e-01  6.72833781e-08
2.51732891e-01  6.51604747e-08
2.58156968e-01  5.53996203e-08
2.62077075e-01  5.27677609e-08
2.86845981e-01  4.53171297e-08
3.00097392e-01  4.18213080e-08
3.09270130e-01  3.67680173e-08
3.13961044e-01  3.43670425e-08
3.18723174e-01  3.29769603e-08
3.33447214e-01  3.10695714e-08
3.59514409e-01  2.87104575e-08
3.70503202e-01  2.78194370e-08
3.81827955e-01  2.62638562e-08
3.93498777e-01  2.50897212e-08
3.99467244e-01  2.46884825e-08
4.85817474e-01  1.72185622e-08
6.08892554e-01  1.19044358e-08
6.37021670e-01  1.12885495e-08
6.86820760e-01  1.05981538e-08
6.97238390e-01  1.05033038e-08
7.18549938e-01  9.90945645e-09
7.26320466e-01  9.75991403e-09
7.29448681e-01  9.58471295e-09
7.40512887e-01  9.10046817e-09
7.51744915e-01  8.49250998e-09
7.60341795e-01  7.90369948e-09
7.74722490e-01  7.56963629e-09
7.98402391e-01  7.21144726e-09
8.22806082e-01  6.92313172e-09
8.47955689e-01  6.14928677e-09
8.73874010e-01  5.83887212e-09
9.00584542e-01  5.54526806e-09
9.19239542e-01  5.18322129e-09
9.28111692e-01  4.87403962e-09
9.42189003e-01  4.61520930e-09
9.56480033e-01  4.47062464e-09
1.00699656e+00  4.19744153e-09
1.03125274e+00  3.67532530e-09
1.04689446e+00  3.38590302e-09
1.09525803e+00  3.17853448e-09
1.19879091e+00  2.83261156e-09
1.23543274e+00  2.70843328e-09
1.37272637e+00  2.19058532e-09
1.50248818e+00  2.03961664e-09
1.52527777e+00  2.02248184e-09
1.54841271e+00  2.02753326e-09
1.61994500e+00  2.08234090e-09
1.64451583e+00  2.10380133e-09
1.67448192e+00  2.22914548e-09
1.69478188e+00  2.33708702e-09
1.77307602e+00  2.68115027e-09
1.78452411e+00  2.75266897e-09
1.79996949e+00  2.94507834e-09
1.82868550e+00  3.39914023e-09
1.85498635e+00  3.73057568e-09
1.87488902e+00  4.19744153e-09
1.91168562e+00  4.78283882e-09
1.90417954e+00  4.80377806e-09
1.94273422e+00  4.73586322e-09
2.06314559e+00  4.58104195e-09
2.14753805e+00  4.53795042e-09
2.23538256e+00  4.57691035e-09
2.32682033e+00  4.70568292e-09
2.37393238e+00  4.78902140e-09
2.47103750e+00  5.14178137e-09
2.62419330e+00  5.92420811e-09
2.73153528e+00  6.78432605e-09
2.84326805e+00  7.82125937e-09
2.90514070e+00  8.74061957e-09
2.95957123e+00  9.41795101e-09
3.01949484e+00  1.03652981e-08
3.06144191e+00  1.12081102e-08
3.08063175e+00  1.28557927e-08
3.11320857e+00  1.43721774e-08
3.14300653e+00  1.47807704e-08
3.20664423e+00  1.66027112e-08
3.33781122e+00  1.71188328e-08
3.61646072e+00  1.76350213e-08
3.76439272e+00  1.81152136e-08
3.84061187e+00  1.85353415e-08
3.99771115e+00  2.06821031e-08
4.10927240e+00  2.36321587e-08
4.16123653e+00  2.58277784e-08
4.23441936e+00  3.03035543e-08
4.28234537e+00  3.88582953e-08
4.31327571e+00  4.98280532e-08
4.29166406e+00  6.38946613e-08
4.28742317e+00  8.19322246e-08
4.24549074e+00  9.56548462e-08
4.22801723e+00  1.05061820e-07
4.16099832e+00  1.34720938e-07
4.12667416e+00  1.72753060e-07
4.07865439e+00  1.93998876e-07
4.03264400e+00  2.21521521e-07
3.99771115e+00  2.58708135e-07
3.95456988e+00  2.84057394e-07
3.90102760e+00  3.64247243e-07
3.84061187e+00  4.15300171e-07
3.76439272e+00  5.39163302e-07
3.68385365e+00  5.98931426e-07
3.63654689e+00  7.68010709e-07
3.54468997e+00  9.44532873e-07
3.53008900e+00  9.84821339e-07
3.47434501e+00  1.12738769e-06
3.40539463e+00  1.44851399e-06
3.33781122e+00  1.57259049e-06
3.32738792e+00  1.61934087e-06
3.27157043e+00  2.04585188e-06
3.26111688e+00  2.07648335e-06
3.23584747e+00  2.66267786e-06
3.20664423e+00  2.94766552e-06
3.13961732e+00  3.41435601e-06
3.08063175e+00  4.35770140e-06
3.07193437e+00  4.37823408e-06
3.03658641e+00  5.61422262e-06
3.01949484e+00  5.90003380e-06
3.00904066e+00  7.19912649e-06
3.01608380e+00  9.23145122e-06
2.95957123e+00  1.14599627e-05
2.89821009e+00  1.18375044e-05
2.90083683e+00  1.21855506e-05
2.95957123e+00  1.39748024e-05
2.98267067e+00  1.51792505e-05
2.95957123e+00  1.61503450e-05
2.90083683e+00  1.74985341e-05
2.84326805e+00  1.81693334e-05
2.78684176e+00  1.85707617e-05
2.75459472e+00  1.94643982e-05
2.73153528e+00  2.16048043e-05
2.67732639e+00  2.37559485e-05
2.61964221e+00  2.49592284e-05
2.62419330e+00  2.87751674e-05
2.63556712e+00  3.20052579e-05
2.62419330e+00  3.33330995e-05
2.57211468e+00  3.66412786e-05
2.54145794e+00  4.10403925e-05
2.52106958e+00  4.62434422e-05
2.44033296e+00  5.26262177e-05
2.42199834e+00  5.74347326e-05
2.37393238e+00  6.36992954e-05
2.32006403e+00  6.74826075e-05
2.28064324e+00  8.06775944e-05
2.23283585e+00  8.65331489e-05
2.23538256e+00  9.15716199e-05
2.26378364e+00  1.10961715e-04
2.23538256e+00  1.29612572e-04
2.20159070e+00  1.42286225e-04
2.19102011e+00  1.85128385e-04
2.16980516e+00  2.31819025e-04
