# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.4000  9.953e-05  9.953e-05
0.4020  9.901e-05  9.901e-05
0.4025  9.859e-05  9.859e-05
0.4040  9.799e-05  9.799e-05
0.4060  9.608e-05  9.608e-05
0.4080  9.337e-05  9.337e-05
0.4100  9.027e-05  9.027e-05
0.4103  9.027e-05  9.027e-05
0.4120  8.896e-05  8.896e-05
0.4140  8.511e-05  8.511e-05
0.4160  8.211e-05  8.211e-05
0.4180  7.941e-05  7.941e-05
0.4182  7.941e-05  7.941e-05
0.4200  7.839e-05  7.839e-05
0.4220  7.711e-05  7.711e-05
0.4240  7.626e-05  7.626e-05
0.4260  7.580e-05  7.580e-05
0.4262  7.580e-05  7.580e-05
0.4280  7.475e-05  7.475e-05
0.4300  7.299e-05  7.299e-05
0.4320  7.192e-05  7.192e-05
0.4340  6.947e-05  6.947e-05
0.4344  6.947e-05  6.947e-05
0.4360  6.746e-05  6.746e-05
0.4380  6.618e-05  6.618e-05
0.4400  6.435e-05  6.435e-05
0.4420  6.216e-05  6.216e-05
0.4428  6.216e-05  6.216e-05
0.4440  6.127e-05  6.127e-05
0.4460  5.998e-05  5.998e-05
0.4480  5.958e-05  5.958e-05
0.4500  5.896e-05  5.896e-05
0.4513  5.859e-05  5.859e-05
0.4600  5.368e-05  5.368e-05
0.4689  4.843e-05  4.843e-05
0.4779  4.548e-05  4.548e-05
0.4871  4.230e-05  4.230e-05
0.4965  3.843e-05  3.843e-05
0.5061  3.561e-05  3.561e-05
0.5158  3.309e-05  3.309e-05
0.5257  3.030e-05  3.030e-05
0.5359  2.787e-05  2.787e-05
0.5462  2.594e-05  2.594e-05
0.5567  2.437e-05  2.437e-05
0.5674  2.217e-05  2.217e-05
0.5784  2.090e-05  2.090e-05
0.5895  1.921e-05  1.921e-05
0.6008  1.773e-05  1.773e-05
0.6124  1.669e-05  1.669e-05
0.6242  1.533e-05  1.533e-05
0.6362  1.451e-05  1.451e-05
0.6485  1.341e-05  1.341e-05
0.6610  1.233e-05  1.233e-05
0.6737  1.175e-05  1.175e-05
0.6867  1.078e-05  1.078e-05
0.6999  1.002e-05  1.002e-05
0.7134  9.494e-06  9.494e-06
0.7271  8.778e-06  8.778e-06
0.7411  8.217e-06  8.217e-06
0.7554  7.536e-06  7.536e-06
0.7700  7.190e-06  7.190e-06
0.7848  6.674e-06  6.674e-06
0.7999  6.102e-06  6.102e-06
0.8153  5.948e-06  5.948e-06
0.8310  5.451e-06  5.451e-06
0.8470  5.086e-06  5.086e-06
0.8633  4.780e-06  4.780e-06
0.8799  4.439e-06  4.439e-06
0.8969  4.155e-06  4.155e-06
0.9142  3.845e-06  3.845e-06
0.9318  3.725e-06  3.725e-06
0.9497  3.416e-06  3.416e-06
0.9680  3.153e-06  3.153e-06
0.9867  3.042e-06  3.042e-06
1.0056  2.793e-06  2.793e-06
1.0250  2.609e-06  2.609e-06
1.0448  2.431e-06  2.431e-06
1.0649  2.333e-06  2.333e-06
1.0854  2.166e-06  2.166e-06
1.1063  1.990e-06  1.990e-06
1.1276  1.936e-06  1.936e-06
1.1493  1.777e-06  1.777e-06
1.1715  1.675e-06  1.675e-06
1.1940  1.564e-06  1.629e-06
1.2170  1.486e-06  1.629e-06
1.2405  1.376e-06  8.831e-03
1.2643  1.267e-06  8.831e-03
1.2887  1.237e-06  8.831e-03
1.3135  1.139e-06  8.266e-03
1.3388  1.069e-06  7.870e-03
1.3646  1.010e-06  7.558e-03
1.3909  9.517e-07  6.252e-03
1.4177  8.863e-07  6.091e-03
1.4450  8.140e-07  5.080e-03
1.4728  7.981e-07  4.553e-03
1.5011  7.331e-07  4.273e-03
1.5301  6.858e-07  3.491e-03
1.5595  6.546e-07  3.377e-03
1.5896  6.162e-07  2.844e-03
1.6000  6.026e-07  2.649e-03
1.6020  5.963e-07  2.583e-03
1.6040  5.963e-07  2.583e-03
1.6060  5.904e-07  2.543e-03
1.6080  5.904e-07  2.543e-03
1.6100  5.843e-07  2.525e-03
1.6120  5.843e-07  2.525e-03
1.6140  5.785e-07  2.513e-03
1.6160  5.785e-07  2.513e-03
1.6180  5.785e-07  2.513e-03
1.6200  5.726e-07  2.505e-03
1.6202  5.726e-07  2.505e-03
1.6220  5.726e-07  2.505e-03
1.6240  5.668e-07  2.505e-03
1.6260  5.668e-07  2.505e-03
1.6280  5.600e-07  2.505e-03
1.6300  5.600e-07  2.505e-03
1.6320  5.521e-07  2.498e-03
1.6340  5.521e-07  2.498e-03
1.6360  5.521e-07  2.498e-03
1.6380  5.445e-07  2.486e-03
1.6400  5.445e-07  2.486e-03
1.6420  5.382e-07  2.468e-03
1.6440  5.382e-07  2.468e-03
1.6460  5.332e-07  2.424e-03
1.6480  5.332e-07  2.424e-03
1.6500  5.332e-07  2.424e-03
1.6514  5.288e-07  2.365e-03
1.6520  5.288e-07  2.365e-03
1.6540  5.288e-07  2.365e-03
1.6560  5.288e-07  2.291e-03
1.6580  5.288e-07  2.291e-03
1.6600  5.288e-07  2.206e-03
1.6620  5.288e-07  2.206e-03
1.6640  5.288e-07  2.206e-03
1.6660  5.288e-07  2.116e-03
1.6680  5.288e-07  2.116e-03
1.6700  5.288e-07  2.035e-03
1.6720  5.288e-07  2.035e-03
1.6740  5.288e-07  1.969e-03
1.6760  5.288e-07  1.969e-03
1.6780  5.288e-07  1.969e-03
1.6800  5.234e-07  1.921e-03
1.6820  5.234e-07  1.921e-03
1.6832  5.178e-07  1.888e-03
1.6840  5.178e-07  1.888e-03
1.6860  5.178e-07  1.888e-03
1.6880  5.108e-07  1.874e-03
1.6900  5.108e-07  1.874e-03
1.6920  5.108e-07  1.874e-03
1.6940  5.036e-07  1.864e-03
1.6960  5.036e-07  1.864e-03
1.6980  4.968e-07  1.859e-03
1.7000  4.968e-07  1.859e-03
1.7020  4.905e-07  1.859e-03
1.7040  4.905e-07  1.859e-03
1.7060  4.905e-07  1.859e-03
1.7080  4.851e-07  1.859e-03
1.7100  4.851e-07  1.859e-03
1.7120  4.797e-07  1.853e-03
1.7140  4.797e-07  1.853e-03
1.7156  4.797e-07  1.853e-03
1.7160  4.752e-07  1.845e-03
1.7180  4.752e-07  1.845e-03
1.7200  4.752e-07  1.845e-03
1.7220  4.704e-07  1.833e-03
1.7240  4.704e-07  1.833e-03
1.7260  4.657e-07  1.802e-03
1.7280  4.657e-07  1.802e-03
1.7300  4.657e-07  1.802e-03
1.7320  4.611e-07  1.758e-03
1.7340  4.611e-07  1.758e-03
1.7360  4.563e-07  1.706e-03
1.7380  4.563e-07  1.706e-03
1.7400  4.509e-07  1.642e-03
1.7420  4.509e-07  1.642e-03
1.7440  4.509e-07  1.642e-03
1.7460  4.453e-07  1.575e-03
1.7480  4.453e-07  1.575e-03
1.7487  4.453e-07  1.575e-03
1.7500  4.393e-07  1.515e-03
1.7520  4.393e-07  1.515e-03
1.7540  4.393e-07  1.515e-03
1.7560  4.337e-07  1.464e-03
1.7580  4.337e-07  1.464e-03
1.7600  4.298e-07  1.427e-03
1.7620  4.298e-07  1.427e-03
1.7640  4.298e-07  1.427e-03
1.7660  4.263e-07  1.403e-03
1.7680  4.263e-07  1.403e-03
1.7700  4.263e-07  1.392e-03
1.7720  4.263e-07  1.392e-03
1.7740  4.263e-07  1.392e-03
1.7760  4.263e-07  1.386e-03
1.7780  4.263e-07  1.386e-03
1.7800  4.263e-07  1.382e-03
1.7820  4.263e-07  1.382e-03
1.7823  4.263e-07  1.382e-03
1.7840  4.263e-07  1.382e-03
1.7860  4.263e-07  1.382e-03
1.7880  4.263e-07  1.382e-03
1.7900  4.263e-07  1.382e-03
1.7920  4.263e-07  1.382e-03
1.7940  4.263e-07  1.382e-03
1.7960  4.222e-07  1.378e-03
1.7980  4.222e-07  1.378e-03
1.8000  4.179e-07  1.371e-03
1.8020  4.179e-07  1.371e-03
