# CODEX-b HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.1000  2.158e-05  2.158e-05
0.1019  2.043e-05  2.043e-05
0.1039  1.974e-05  1.974e-05
0.1059  1.896e-05  1.896e-05
0.1079  1.774e-05  1.774e-05
0.1100  1.700e-05  1.700e-05
0.1121  1.577e-05  1.577e-05
0.1143  1.450e-05  1.450e-05
0.1165  1.414e-05  1.414e-05
0.1187  1.297e-05  1.297e-05
0.1210  1.218e-05  1.218e-05
0.1234  1.144e-05  1.144e-05
0.1257  1.084e-05  1.084e-05
0.1281  1.007e-05  1.007e-05
0.1306  9.236e-06  9.236e-06
0.1331  9.177e-06  9.177e-06
0.1357  9.175e-06  9.175e-06
0.1383  9.175e-06  9.175e-06
0.1410  5.926e-06  5.926e-06
0.1437  5.916e-06  5.916e-06
0.1464  5.916e-06  5.916e-06
0.1493  5.913e-06  5.913e-06
0.1522  5.740e-06  5.740e-06
0.1551  5.293e-06  5.293e-06
0.1581  4.958e-06  4.958e-06
0.1611  4.754e-06  4.754e-06
0.1642  4.423e-06  4.423e-06
0.1674  4.125e-06  4.125e-06
0.1706  3.821e-06  3.821e-06
0.1739  3.666e-06  3.666e-06
0.1772  3.420e-06  3.420e-06
0.1806  3.156e-06  3.156e-06
0.1841  3.059e-06  3.059e-06
0.1877  2.815e-06  2.815e-06
0.1913  2.629e-06  2.629e-06
0.1950  2.457e-06  2.457e-06
0.1987  2.353e-06  2.353e-06
0.2026  2.207e-06  2.207e-06
0.2064  2.032e-06  2.032e-06
0.2104  1.994e-06  1.994e-06
0.2145  1.854e-06  1.854e-06
0.2186  1.718e-06  1.718e-06
0.2228  1.618e-06  1.618e-06
0.2271  1.587e-06  1.587e-06
0.2315  1.458e-06  1.458e-06
0.2359  1.341e-06  1.341e-06
0.2405  1.314e-06  1.314e-06
0.2451  1.226e-06  1.226e-06
0.2498  1.142e-06  1.142e-06
0.2500  1.142e-06  1.142e-06
0.2520  1.100e-06  1.100e-06
0.2540  1.070e-06  1.070e-06
0.2546  1.070e-06  1.070e-06
0.2560  1.070e-06  1.070e-06
0.2580  1.070e-06  1.070e-06
0.2596  1.053e-06  1.053e-06
0.2600  1.040e-06  1.040e-06
0.2620  1.002e-06  1.002e-06
0.2640  9.708e-07  9.708e-07
0.2646  9.708e-07  9.708e-07
0.2660  9.512e-07  9.512e-07
0.2680  9.200e-07  9.200e-07
0.2697  8.972e-07  8.972e-07
0.2700  8.850e-07  8.850e-07
0.2720  8.685e-07  8.685e-07
0.2740  8.685e-07  8.685e-07
0.2748  8.685e-07  8.685e-07
0.2760  8.685e-07  8.685e-07
0.2780  8.470e-07  8.470e-07
0.2800  8.167e-07  8.167e-07
0.2801  8.167e-07  8.167e-07
0.2820  7.986e-07  7.986e-07
0.2840  7.739e-07  7.739e-07
0.2855  7.574e-07  7.574e-07
0.2860  7.574e-07  7.574e-07
0.2880  7.291e-07  7.291e-07
0.2900  7.121e-07  7.121e-07
0.2910  7.051e-07  7.051e-07
0.2920  7.051e-07  7.051e-07
0.2940  7.051e-07  7.051e-07
0.2960  6.995e-07  6.995e-07
0.2966  6.995e-07  6.995e-07
0.2980  6.837e-07  6.837e-07
0.3000  6.660e-07  6.660e-07
0.3020  6.449e-07  6.449e-07
0.3024  6.449e-07  6.449e-07
0.3040  6.316e-07  6.316e-07
0.3060  6.128e-07  6.128e-07
0.3080  5.981e-07  5.981e-07
0.3082  5.981e-07  5.981e-07
0.3100  5.831e-07  5.831e-07
0.3120  5.741e-07  5.741e-07
0.3140  5.741e-07  5.741e-07
0.3141  5.741e-07  5.741e-07
0.3160  5.741e-07  5.741e-07
0.3180  5.652e-07  5.652e-07
0.3200  5.440e-07  5.440e-07
0.3202  5.440e-07  5.440e-07
