# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap to within line width across
# most of the mass range; values are co-located with FLArE_Umu.dat.
# mass_GeV  u2_min  u2_max
0.1000  4.006e-05  4.006e-05
0.1019  4.006e-05  4.006e-05
0.1039  3.945e-05  3.945e-05
0.1059  3.773e-05  3.773e-05
0.1079  3.538e-05  3.538e-05
0.1100  3.295e-05  3.295e-05
0.1121  3.052e-05  3.052e-05
0.1143  2.853e-05  2.853e-05
0.1165  2.650e-05  2.650e-05
0.1187  2.474e-05  2.474e-05
0.1210  2.324e-05  2.324e-05
0.1234  2.116e-05  2.116e-05
0.1257  1.775e-05  1.775e-05
0.1281  1.616e-05  1.616e-05
0.1306  1.404e-05  1.404e-05
0.1331  1.160e-05  1.160e-05
0.1357  9.698e-06  9.698e-06
0.1383  7.953e-06  7.953e-06
0.1410  6.623e-06  6.623e-06
0.1437  5.311e-06  5.311e-06
0.1464  4.264e-06  4.264e-06
0.1493  3.473e-06  3.473e-06
0.1522  2.741e-06  2.741e-06
0.1551  2.354e-06  2.354e-06
0.1581  1.949e-06  1.949e-06
0.1611  1.679e-06  1.679e-06
0.1642  1.414e-06  1.414e-06
0.1674  1.196e-06  1.196e-06
0.1706  1.112e-06  1.112e-06
0.1739  9.292e-07  9.292e-07
0.1772  8.787e-07  8.787e-07
0.1806  7.938e-07  7.938e-07
0.1841  6.887e-07  6.887e-07
0.1877  6.465e-07  6.465e-07
0.1913  5.715e-07  5.715e-07
0.1950  5.194e-07  5.194e-07
0.1987  4.871e-07  4.871e-07
0.2026  4.415e-07  4.415e-07
0.2064  4.032e-07  4.032e-07
0.2104  3.748e-07  3.748e-07
0.2145  3.389e-07  3.389e-07
0.2186  3.108e-07  3.108e-07
0.2228  2.889e-07  2.889e-07
0.2271  2.652e-07  2.652e-07
0.2315  2.407e-07  2.407e-07
0.2359  2.249e-07  2.249e-07
0.2405  2.032e-07  2.032e-07
0.2451  1.852e-07  1.852e-07
0.2498  1.722e-07  1.722e-07
0.2500  1.722e-07  1.722e-07
0.2520  1.671e-07  1.671e-07
0.2540  1.591e-07  1.591e-07
0.2546  1.561e-07  1.561e-07
0.2560  1.533e-07  1.533e-07
0.2580  1.472e-07  1.472e-07
0.2596  1.444e-07  1.444e-07
0.2600  1.427e-07  1.427e-07
0.2620  1.381e-07  1.381e-07
0.2640  1.339e-07  1.339e-07
0.2646  1.339e-07  1.339e-07
0.2660  1.313e-07  1.313e-07
0.2680  1.259e-07  1.259e-07
0.2697  1.214e-07  1.214e-07
0.2700  1.190e-07  1.190e-07
0.2720  1.149e-07  1.149e-07
0.2740  1.115e-07  1.115e-07
0.2748  1.106e-07  1.106e-07
0.2760  1.096e-07  1.096e-07
0.2780  1.062e-07  1.062e-07
0.2800  1.027e-07  1.027e-07
0.2801  1.027e-07  1.027e-07
0.2820  1.007e-07  1.007e-07
0.2840  9.770e-08  9.770e-08
0.2855  9.548e-08  9.548e-08
0.2860  9.548e-08  9.548e-08
0.2880  9.219e-08  9.219e-08
0.2900  9.082e-08  9.082e-08
0.2910  8.935e-08  8.935e-08
0.2920  8.858e-08  8.858e-08
