# FLArE HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FLArE and FASER2 contours overlap to within line width across
# most of the mass range; values are co-located with FASER2_Umu.dat.
# mass_GeV  u2_min  u2_max
0.1000  4.370e-05  4.370e-05
0.1019  4.144e-05  4.144e-05
0.1039  4.027e-05  4.027e-05
0.1059  3.878e-05  3.878e-05
0.1079  3.627e-05  3.627e-05
0.1100  3.424e-05  3.424e-05
0.1121  3.188e-05  3.188e-05
0.1143  2.923e-05  2.923e-05
0.1165  2.809e-05  2.809e-05
0.1187  2.592e-05  2.592e-05
0.1210  2.430e-05  2.430e-05
0.1234  2.086e-05  2.086e-05
0.1257  1.976e-05  1.976e-05
0.1281  1.660e-05  1.660e-05
0.1306  1.401e-05  1.401e-05
0.1331  1.219e-05  1.219e-05
0.1357  9.733e-06  9.733e-06
0.1383  8.475e-06  8.475e-06
0.1410  6.613e-06  6.613e-06
0.1437  5.513e-06  5.513e-06
0.1464  4.448e-06  4.448e-06
0.1493  3.528e-06  3.528e-06
0.1522  2.940e-06  2.940e-06
0.1551  2.295e-06  2.295e-06
0.1581  2.076e-06  2.076e-06
0.1611  1.691e-06  1.691e-06
0.1642  1.407e-06  1.407e-06
0.1674  1.282e-06  1.282e-06
0.1706  1.044e-06  1.044e-06
0.1739  1.019e-06  1.019e-06
0.1772  8.942e-07  8.942e-07
0.1806  7.801e-07  7.801e-07
0.1841  7.452e-07  7.452e-07
0.1877  6.326e-07  6.326e-07
0.1913  5.900e-07  5.900e-07
0.1950  5.526e-07  5.526e-07
0.1987  4.805e-07  4.805e-07
0.2026  4.539e-07  4.539e-07
0.2064  4.261e-07  4.261e-07
0.2104  3.748e-07  3.748e-07
0.2145  3.476e-07  3.476e-07
0.2186  3.224e-07  3.224e-07
0.2228  2.860e-07  2.860e-07
0.2271  2.682e-07  2.682e-07
0.2315  2.521e-07  2.521e-07
