# SHiP HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# The SHiP upper branch is sampled with an extrema window and
# short sparse-raster gaps are log-interpolated from neighboring
# visible upper-edge pixels to avoid artificial branch toggles.
# mass_GeV  u2_min  u2_max
0.1000  7.347e-07  9.701e-04
0.1019  7.152e-07  9.701e-04
0.1039  6.880e-07  9.701e-04
0.1059  6.494e-07  9.701e-04
0.1079  6.180e-07  9.701e-04
0.1100  5.850e-07  9.701e-04
0.1121  5.668e-07  9.701e-04
0.1143  5.515e-07  9.701e-04
0.1165  5.372e-07  9.701e-04
0.1187  5.279e-07  9.701e-04
0.1210  5.279e-07  9.701e-04
0.1234  2.533e-07  9.701e-04
0.1257  2.348e-07  9.701e-04
0.1281  2.104e-07  9.701e-04
0.1306  1.903e-07  9.701e-04
0.1331  1.850e-07  9.701e-04
0.1357  1.743e-07  9.701e-04
0.1383  1.580e-07  9.701e-04
0.1410  5.462e-08  9.701e-04
0.1437  5.210e-08  9.701e-04
0.1464  4.879e-08  9.701e-04
0.1493  4.596e-08  9.701e-04
0.1522  4.315e-08  9.701e-04
0.1551  3.927e-08  9.701e-04
0.1581  3.662e-08  9.701e-04
0.1611  3.433e-08  9.701e-04
0.1642  3.253e-08  9.701e-04
0.1674  3.118e-08  9.701e-04
0.1706  3.081e-08  9.701e-04
0.1739  3.081e-08  9.701e-04
0.1772  3.081e-08  9.701e-04
0.1806  1.582e-08  9.701e-04
0.1841  1.557e-08  9.701e-04
0.1877  1.507e-08  9.701e-04
0.1913  1.458e-08  9.701e-04
0.1950  1.402e-08  9.701e-04
0.1987  1.311e-08  9.701e-04
0.2026  1.235e-08  9.701e-04
0.2064  1.160e-08  9.701e-04
0.2104  1.120e-08  9.701e-04
0.2145  1.085e-08  9.701e-04
0.2186  1.054e-08  9.701e-04
0.2228  1.036e-08  9.701e-04
0.2271  1.036e-08  9.701e-04
0.2315  1.036e-08  9.701e-04
0.2359  5.350e-09  9.701e-04
0.2405  5.277e-09  9.701e-04
0.2451  5.093e-09  9.701e-04
0.2498  4.913e-09  9.701e-04
0.2500  4.913e-09  9.701e-04
0.2520  4.840e-09  9.701e-04
0.2540  4.765e-09  9.701e-04
0.2546  4.743e-09  9.701e-04
0.2560  4.715e-09  9.701e-04
0.2580  4.611e-09  9.701e-04
0.2596  4.528e-09  9.701e-04
0.2600  4.484e-09  9.701e-04
0.2620  4.344e-09  9.701e-04
0.2640  4.212e-09  9.701e-04
0.2646  4.212e-09  9.701e-04
0.2660  4.129e-09  9.701e-04
0.2680  4.012e-09  9.701e-04
0.2697  3.940e-09  9.701e-04
0.2700  3.907e-09  9.701e-04
0.2720  3.847e-09  9.701e-04
0.2740  3.783e-09  9.701e-04
0.2748  3.765e-09  9.701e-04
0.2760  3.747e-09  9.701e-04
0.2780  3.696e-09  9.701e-04
0.2800  3.645e-09  9.701e-04
0.2801  3.645e-09  9.701e-04
0.2820  3.612e-09  9.701e-04
0.2840  3.565e-09  9.701e-04
0.2855  3.535e-09  9.701e-04
0.2860  3.535e-09  9.701e-04
0.2880  3.494e-09  9.701e-04
0.2900  3.470e-09  9.701e-04
0.2910  3.453e-09  9.701e-04
