# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.1840  5.351e-02  5.351e-02
0.1841  5.237e-02  5.237e-02
0.1862  3.519e-02  3.519e-02
0.1877  2.930e-02  2.930e-02
0.1896  2.314e-02  2.314e-02
0.1913  1.975e-02  1.975e-02
0.1941  1.521e-02  1.521e-02
0.1950  1.432e-02  1.432e-02
0.1987  1.095e-02  1.095e-02
0.2000  1.000e-02  1.000e-02
0.2026  8.617e-03  8.617e-03
0.2064  6.886e-03  6.886e-03
0.2073  6.572e-03  6.572e-03
0.2104  5.643e-03  5.643e-03
0.2145  4.657e-03  4.657e-03
0.2161  4.318e-03  4.318e-03
0.2186  3.899e-03  3.899e-03
0.2228  3.295e-03  3.295e-03
0.2266  2.837e-03  2.837e-03
0.2271  2.790e-03  2.790e-03
0.2315  2.402e-03  2.402e-03
0.2359  2.068e-03  2.068e-03
0.2391  1.863e-03  1.863e-03
0.2405  1.789e-03  1.789e-03
0.2451  1.563e-03  1.563e-03
0.2498  1.366e-03  1.366e-03
0.2500  1.360e-03  1.360e-03
0.2520  1.286e-03  1.286e-03
0.2538  1.224e-03  1.224e-03
0.2540  1.217e-03  1.217e-03
0.2546  1.197e-03  1.197e-03
0.2560  1.157e-03  1.157e-03
0.2580  1.100e-03  1.100e-03
0.2596  1.058e-03  1.058e-03
0.2600  1.047e-03  1.047e-03
0.2620  9.962e-04  9.962e-04
0.2640  9.485e-04  9.485e-04
0.2646  9.357e-04  9.357e-04
0.2660  9.035e-04  9.035e-04
0.2680  8.609e-04  8.609e-04
0.2697  8.275e-04  8.275e-04
0.2700  8.207e-04  8.207e-04
0.2709  8.036e-04  8.036e-04
0.2720  7.839e-04  7.839e-04
0.2740  7.501e-04  7.501e-04
0.2748  7.362e-04  7.362e-04
0.2760  7.179e-04  7.179e-04
0.2780  6.874e-04  6.874e-04
0.2800  6.583e-04  6.583e-04
0.2801  6.563e-04  6.563e-04
0.2820  6.307e-04  6.307e-04
0.2840  6.044e-04  6.044e-04
0.2855  5.852e-04  5.852e-04
0.2860  5.794e-04  5.794e-04
0.2880  5.556e-04  5.556e-04
0.2900  5.329e-04  5.329e-04
0.2904  5.283e-04  5.283e-04
0.2910  5.221e-04  5.221e-04
0.2920  5.123e-04  5.123e-04
0.2940  4.929e-04  4.929e-04
0.2960  4.743e-04  4.743e-04
0.2966  4.685e-04  4.685e-04
0.2980  4.565e-04  4.565e-04
0.3000  4.396e-04  4.396e-04
0.3020  4.233e-04  4.233e-04
0.3024  4.206e-04  4.206e-04
0.3040  4.078e-04  4.078e-04
0.3060  3.929e-04  3.929e-04
0.3080  3.787e-04  3.787e-04
0.3082  3.775e-04  3.775e-04
0.3100  3.650e-04  3.650e-04
0.3120  3.520e-04  3.520e-04
0.3127  3.478e-04  3.478e-04
0.3140  3.399e-04  3.399e-04
0.3141  3.393e-04  3.393e-04
0.3160  3.286e-04  3.286e-04
0.3180  3.177e-04  3.177e-04
0.3200  3.072e-04  3.072e-04
0.3202  3.064e-04  3.064e-04
0.3220  2.972e-04  2.972e-04
