# CODEX-b HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.1000  2.315e-05  2.315e-05
0.1019  2.171e-05  2.171e-05
0.1039  2.038e-05  2.038e-05
0.1059  1.912e-05  1.912e-05
0.1079  1.794e-05  1.794e-05
0.1100  1.683e-05  1.683e-05
0.1121  1.579e-05  1.579e-05
0.1143  1.481e-05  1.481e-05
0.1165  1.390e-05  1.390e-05
0.1187  1.304e-05  1.304e-05
0.1210  1.223e-05  1.223e-05
0.1234  1.148e-05  1.148e-05
0.1257  1.077e-05  1.077e-05
0.1281  1.010e-05  1.010e-05
0.1306  9.479e-06  9.479e-06
0.1331  8.892e-06  8.892e-06
0.1357  8.343e-06  8.343e-06
0.1383  7.827e-06  7.827e-06
0.1410  7.344e-06  7.344e-06
0.1437  6.891e-06  6.891e-06
0.1464  6.464e-06  6.464e-06
0.1493  6.065e-06  6.065e-06
0.1522  5.690e-06  5.690e-06
0.1551  5.338e-06  5.338e-06
0.1581  5.009e-06  5.009e-06
0.1611  4.699e-06  4.699e-06
0.1642  4.409e-06  4.409e-06
0.1674  4.137e-06  4.137e-06
0.1706  3.881e-06  3.881e-06
0.1739  3.641e-06  3.641e-06
0.1772  3.416e-06  3.416e-06
0.1806  3.205e-06  3.205e-06
0.1841  3.007e-06  3.007e-06
0.1877  2.821e-06  2.821e-06
0.1913  2.647e-06  2.647e-06
0.1950  2.483e-06  2.483e-06
0.1987  2.330e-06  2.330e-06
0.2000  2.280e-06  2.280e-06
0.2026  2.194e-06  2.194e-06
0.2064  2.069e-06  2.069e-06
0.2104  1.952e-06  1.952e-06
0.2145  1.841e-06  1.841e-06
0.2186  1.737e-06  1.737e-06
0.2228  1.639e-06  1.639e-06
0.2271  1.546e-06  1.546e-06
0.2315  1.458e-06  1.458e-06
0.2359  1.375e-06  1.375e-06
0.2405  1.297e-06  1.297e-06
0.2451  1.224e-06  1.224e-06
0.2498  1.155e-06  1.155e-06
0.2500  1.152e-06  1.152e-06
0.2520  1.125e-06  1.125e-06
0.2540  1.098e-06  1.098e-06
0.2546  1.089e-06  1.089e-06
0.2560  1.072e-06  1.072e-06
0.2580  1.046e-06  1.046e-06
0.2596  1.027e-06  1.027e-06
0.2600  1.022e-06  1.022e-06
0.2620  9.984e-07  9.984e-07
0.2640  9.754e-07  9.754e-07
0.2646  9.691e-07  9.691e-07
0.2660  9.532e-07  9.532e-07
0.2680  9.316e-07  9.316e-07
0.2697  9.143e-07  9.143e-07
0.2700  9.106e-07  9.106e-07
0.2720  8.903e-07  8.903e-07
0.2740  8.706e-07  8.706e-07
0.2748  8.624e-07  8.624e-07
0.2760  8.514e-07  8.514e-07
0.2780  8.328e-07  8.328e-07
0.2800  8.148e-07  8.148e-07
0.2801  8.135e-07  8.135e-07
0.2820  7.972e-07  7.972e-07
0.2840  7.802e-07  7.802e-07
0.2855  7.674e-07  7.674e-07
0.2860  7.636e-07  7.636e-07
0.2880  7.475e-07  7.475e-07
0.2900  7.318e-07  7.318e-07
0.2910  7.239e-07  7.239e-07
0.2920  7.166e-07  7.166e-07
0.2940  7.018e-07  7.018e-07
0.2960  6.874e-07  6.874e-07
0.2966  6.829e-07  6.829e-07
0.2980  6.734e-07  6.734e-07
0.3000  6.597e-07  6.597e-07
0.3020  6.465e-07  6.465e-07
