# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap closely; vector paths give two
# independent extractions and reveal whether/where they differ.
# mass_GeV  u2_min  u2_max
0.1000  4.739e-05  4.739e-05
0.1019  4.395e-05  4.395e-05
0.1039  4.077e-05  4.077e-05
0.1045  3.981e-05  3.981e-05
0.1059  3.794e-05  3.794e-05
0.1079  3.535e-05  3.535e-05
0.1100  3.294e-05  3.294e-05
0.1121  3.070e-05  3.070e-05
0.1122  3.063e-05  3.063e-05
0.1143  2.859e-05  2.859e-05
0.1165  2.664e-05  2.664e-05
0.1183  2.512e-05  2.512e-05
0.1187  2.483e-05  2.483e-05
0.1210  2.324e-05  2.324e-05
0.1234  2.175e-05  2.175e-05
0.1257  2.036e-05  2.036e-05
0.1259  2.026e-05  2.026e-05
0.1281  1.703e-05  1.703e-05
0.1291  1.585e-05  1.585e-05
0.1306  1.415e-05  1.415e-05
0.1331  1.176e-05  1.176e-05
0.1354  1.000e-05  1.000e-05
0.1357  9.784e-06  9.784e-06
0.1383  8.081e-06  8.081e-06
0.1410  6.680e-06  6.680e-06
0.1413  6.547e-06  6.547e-06
0.1417  6.309e-06  6.309e-06
0.1437  5.384e-06  5.384e-06
0.1464  4.339e-06  4.339e-06
0.1476  3.981e-06  3.981e-06
0.1493  3.480e-06  3.480e-06
0.1522  2.779e-06  2.779e-06
0.1535  2.512e-06  2.512e-06
0.1551  2.216e-06  2.216e-06
0.1581  1.765e-06  1.765e-06
0.1585  1.708e-06  1.708e-06
0.1603  1.585e-06  1.585e-06
0.1611  1.537e-06  1.537e-06
0.1642  1.365e-06  1.365e-06
0.1674  1.213e-06  1.213e-06
0.1706  1.077e-06  1.077e-06
0.1727  1.000e-06  1.000e-06
0.1739  9.577e-07  9.577e-07
0.1772  8.523e-07  8.523e-07
0.1778  8.349e-07  8.349e-07
0.1806  7.711e-07  7.711e-07
0.1841  7.000e-07  7.000e-07
0.1877  6.354e-07  6.354e-07
0.1879  6.310e-07  6.310e-07
0.1913  5.783e-07  5.783e-07
0.1950  5.264e-07  5.264e-07
0.1987  4.792e-07  4.792e-07
0.1995  4.698e-07  4.698e-07
0.2026  4.388e-07  4.388e-07
0.2064  4.025e-07  4.025e-07
0.2069  3.981e-07  3.981e-07
0.2104  3.704e-07  3.704e-07
0.2145  3.411e-07  3.411e-07
0.2186  3.141e-07  3.141e-07
0.2228  2.892e-07  2.892e-07
0.2239  2.834e-07  2.834e-07
0.2271  2.649e-07  2.649e-07
0.2297  2.512e-07  2.512e-07
0.2315  2.425e-07  2.425e-07
0.2359  2.226e-07  2.226e-07
0.2405  2.043e-07  2.043e-07
0.2451  1.875e-07  1.875e-07
0.2498  1.721e-07  1.721e-07
0.2500  1.716e-07  1.716e-07
0.2512  1.679e-07  1.679e-07
0.2520  1.654e-07  1.654e-07
0.2540  1.592e-07  1.592e-07
0.2542  1.585e-07  1.585e-07
0.2546  1.574e-07  1.574e-07
0.2560  1.536e-07  1.536e-07
0.2580  1.482e-07  1.482e-07
0.2596  1.442e-07  1.442e-07
0.2600  1.431e-07  1.431e-07
0.2620  1.382e-07  1.382e-07
0.2640  1.334e-07  1.334e-07
0.2646  1.322e-07  1.322e-07
0.2660  1.289e-07  1.289e-07
0.2680  1.246e-07  1.246e-07
0.2697  1.211e-07  1.211e-07
0.2700  1.204e-07  1.204e-07
0.2720  1.164e-07  1.164e-07
0.2740  1.126e-07  1.126e-07
0.2748  1.110e-07  1.110e-07
0.2760  1.089e-07  1.089e-07
0.2780  1.054e-07  1.054e-07
0.2800  1.020e-07  1.020e-07
