# FLArE HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FLArE and FASER2 contours overlap closely; vector paths give two
# independent extractions and reveal whether/where they differ.
# mass_GeV  u2_min  u2_max
0.1000  4.790e-05  4.790e-05
0.1019  4.468e-05  4.468e-05
0.1039  4.168e-05  4.168e-05
0.1052  3.981e-05  3.981e-05
0.1059  3.895e-05  3.895e-05
0.1079  3.651e-05  3.651e-05
0.1100  3.422e-05  3.422e-05
0.1121  3.207e-05  3.207e-05
0.1122  3.200e-05  3.200e-05
0.1143  2.992e-05  2.992e-05
0.1165  2.792e-05  2.792e-05
0.1187  2.605e-05  2.605e-05
0.1199  2.512e-05  2.512e-05
0.1210  2.435e-05  2.435e-05
0.1234  2.282e-05  2.282e-05
0.1257  2.140e-05  2.140e-05
0.1259  2.130e-05  2.130e-05
0.1281  1.789e-05  1.789e-05
0.1297  1.585e-05  1.585e-05
0.1306  1.482e-05  1.482e-05
0.1331  1.228e-05  1.228e-05
0.1357  1.019e-05  1.019e-05
0.1359  1.000e-05  1.000e-05
0.1383  8.409e-06  8.409e-06
0.1410  6.942e-06  6.942e-06
0.1413  6.803e-06  6.803e-06
0.1421  6.310e-06  6.310e-06
0.1437  5.570e-06  5.570e-06
0.1464  4.479e-06  4.479e-06
0.1480  3.981e-06  3.981e-06
0.1493  3.588e-06  3.588e-06
0.1522  2.859e-06  2.859e-06
0.1538  2.512e-06  2.512e-06
0.1551  2.278e-06  2.278e-06
0.1581  1.813e-06  1.813e-06
0.1585  1.755e-06  1.755e-06
0.1610  1.585e-06  1.585e-06
0.1611  1.575e-06  1.575e-06
0.1642  1.398e-06  1.398e-06
0.1674  1.240e-06  1.240e-06
0.1706  1.099e-06  1.099e-06
0.1732  1.000e-06  1.000e-06
0.1739  9.760e-07  9.760e-07
0.1772  8.681e-07  8.681e-07
0.1778  8.503e-07  8.503e-07
0.1806  7.869e-07  7.869e-07
0.1841  7.161e-07  7.161e-07
0.1877  6.516e-07  6.516e-07
0.1889  6.310e-07  6.310e-07
0.1913  5.943e-07  5.943e-07
0.1950  5.424e-07  5.424e-07
0.1987  4.952e-07  4.952e-07
0.1995  4.857e-07  4.857e-07
0.2026  4.530e-07  4.530e-07
0.2064  4.148e-07  4.148e-07
0.2083  3.981e-07  3.981e-07
0.2104  3.805e-07  3.805e-07
0.2145  3.497e-07  3.497e-07
0.2186  3.214e-07  3.214e-07
0.2228  2.953e-07  2.953e-07
0.2239  2.892e-07  2.892e-07
0.2271  2.702e-07  2.702e-07
0.2306  2.512e-07  2.512e-07
0.2315  2.470e-07  2.470e-07
0.2359  2.265e-07  2.265e-07
0.2405  2.077e-07  2.077e-07
0.2451  1.904e-07  1.904e-07
0.2498  1.746e-07  1.746e-07
0.2500  1.741e-07  1.741e-07
0.2512  1.704e-07  1.704e-07
0.2520  1.680e-07  1.680e-07
0.2540  1.622e-07  1.622e-07
0.2546  1.604e-07  1.604e-07
0.2553  1.585e-07  1.585e-07
0.2560  1.567e-07  1.567e-07
0.2580  1.517e-07  1.517e-07
0.2596  1.478e-07  1.478e-07
0.2600  1.468e-07  1.468e-07
0.2620  1.421e-07  1.421e-07
0.2640  1.376e-07  1.376e-07
0.2646  1.364e-07  1.364e-07
0.2660  1.333e-07  1.333e-07
0.2680  1.292e-07  1.292e-07
0.2697  1.259e-07  1.259e-07
0.2700  1.252e-07  1.252e-07
0.2720  1.213e-07  1.213e-07
0.2740  1.176e-07  1.176e-07
0.2748  1.161e-07  1.161e-07
0.2760  1.141e-07  1.141e-07
0.2780  1.107e-07  1.107e-07
0.2800  1.074e-07  1.074e-07
0.2801  1.071e-07  1.071e-07
0.2818  1.044e-07  1.044e-07
0.2820  1.042e-07  1.042e-07
0.2840  1.017e-07  1.017e-07
0.2854  1.000e-07  1.000e-07
0.2855  9.989e-08  9.989e-08
0.2860  9.938e-08  9.938e-08
0.2880  9.721e-08  9.721e-08
0.2900  9.511e-08  9.511e-08
0.2910  9.405e-08  9.405e-08
0.2920  9.307e-08  9.307e-08
0.2940  9.109e-08  9.109e-08
0.2960  8.916e-08  8.916e-08
0.2966  8.855e-08  8.855e-08
0.2980  8.728e-08  8.728e-08
0.3000  8.546e-08  8.546e-08
0.3020  8.369e-08  8.369e-08
0.3024  8.338e-08  8.338e-08
0.3040  8.196e-08  8.196e-08
0.3060  8.028e-08  8.028e-08
0.3080  7.865e-08  7.865e-08
0.3082  7.851e-08  7.851e-08
0.3100  7.705e-08  7.705e-08
0.3120  7.551e-08  7.551e-08
0.3140  7.400e-08  7.400e-08
0.3141  7.392e-08  7.392e-08
0.3160  7.253e-08  7.253e-08
0.3162  7.236e-08  7.236e-08
0.3180  7.147e-08  7.147e-08
0.3200  7.049e-08  7.049e-08
0.3202  7.041e-08  7.041e-08
0.3220  6.952e-08  6.952e-08
0.3240  6.857e-08  6.857e-08
0.3260  6.764e-08  6.764e-08
0.3263  6.749e-08  6.749e-08
0.3280  6.673e-08  6.673e-08
0.3300  6.583e-08  6.583e-08
0.3320  6.496e-08  6.496e-08
0.3326  6.469e-08  6.469e-08
0.3340  6.410e-08  6.410e-08
0.3360  6.325e-08  6.325e-08
0.3364  6.310e-08  6.310e-08
0.3380  6.250e-08  6.250e-08
0.3390  6.212e-08  6.212e-08
0.3400  6.177e-08  6.177e-08
0.3420  6.106e-08  6.106e-08
0.3440  6.035e-08  6.035e-08
0.3456  5.982e-08  5.982e-08
0.3460  5.966e-08  5.966e-08
0.3480  5.898e-08  5.898e-08
0.3500  5.832e-08  5.832e-08
0.3520  5.766e-08  5.766e-08
0.3522  5.760e-08  5.760e-08
0.3540  5.702e-08  5.702e-08
0.3548  5.676e-08  5.676e-08
0.3560  5.927e-08  5.927e-08
0.3577  6.310e-08  6.310e-08
0.3580  6.380e-08  6.380e-08
0.3590  6.636e-08  6.636e-08
0.3600  6.913e-08  6.913e-08
0.3620  7.487e-08  7.487e-08
0.3640  8.106e-08  8.106e-08
0.3659  8.737e-08  8.737e-08
0.3660  8.771e-08  8.771e-08
0.3680  9.488e-08  9.488e-08
0.3693  1.000e-07  1.000e-07
0.3700  1.027e-07  1.027e-07
0.3720  1.112e-07  1.112e-07
0.3729  1.155e-07  1.155e-07
0.3740  1.205e-07  1.205e-07
0.3760  1.304e-07  1.304e-07
0.3780  1.411e-07  1.411e-07
0.3800  1.526e-07  1.526e-07
0.3801  1.534e-07  1.534e-07
0.3810  1.585e-07  1.585e-07
0.3820  1.652e-07  1.652e-07
0.3840  1.790e-07  1.790e-07
0.3860  1.938e-07  1.938e-07
0.3875  2.053e-07  2.053e-07
0.3880  2.098e-07  2.098e-07
0.3900  2.270e-07  2.270e-07
0.3920  2.455e-07  2.455e-07
0.3926  2.512e-07  2.512e-07
0.3940  2.667e-07  2.667e-07
0.3949  2.771e-07  2.771e-07
0.3960  2.901e-07  2.901e-07
0.3980  3.154e-07  3.154e-07
0.3981  3.168e-07  3.168e-07
0.4000  3.134e-07  3.134e-07
0.4020  3.098e-07  3.098e-07
0.4025  3.089e-07  3.089e-07
0.4040  3.064e-07  3.064e-07
0.4060  3.029e-07  3.029e-07
0.4080  2.996e-07  2.996e-07
0.4100  2.962e-07  2.962e-07
0.4103  2.958e-07  2.958e-07
0.4120  2.930e-07  2.930e-07
0.4140  2.897e-07  2.897e-07
0.4160  2.866e-07  2.866e-07
0.4180  2.835e-07  2.835e-07
0.4182  2.832e-07  2.832e-07
0.4200  2.804e-07  2.804e-07
0.4220  2.774e-07  2.774e-07
0.4240  2.744e-07  2.744e-07
0.4260  2.715e-07  2.715e-07
0.4262  2.711e-07  2.711e-07
0.4280  2.686e-07  2.686e-07
0.4300  2.657e-07  2.657e-07
0.4320  2.629e-07  2.629e-07
0.4340  2.602e-07  2.602e-07
0.4344  2.596e-07  2.596e-07
0.4360  2.575e-07  2.575e-07
0.4380  2.548e-07  2.548e-07
0.4400  2.522e-07  2.522e-07
0.4408  2.512e-07  2.512e-07
0.4420  2.497e-07  2.497e-07
0.4428  2.488e-07  2.488e-07
0.4440  2.474e-07  2.474e-07
0.4460  2.452e-07  2.452e-07
0.4467  2.444e-07  2.444e-07
0.4480  2.429e-07  2.429e-07
0.4500  2.407e-07  2.407e-07
0.4513  2.392e-07  2.392e-07
0.4600  2.300e-07  2.300e-07
0.4689  2.211e-07  2.211e-07
0.4779  2.126e-07  2.126e-07
0.4871  2.044e-07  2.044e-07
0.4965  1.965e-07  1.965e-07
0.5012  1.928e-07  1.928e-07
0.5061  1.898e-07  1.898e-07
0.5158  1.842e-07  1.842e-07
0.5257  1.787e-07  1.787e-07
0.5359  1.733e-07  1.733e-07
0.5462  1.682e-07  1.682e-07
0.5567  1.631e-07  1.631e-07
0.5623  1.605e-07  1.605e-07
0.5660  1.585e-07  1.585e-07
0.5674  1.578e-07  1.578e-07
0.5784  1.525e-07  1.525e-07
0.5895  1.474e-07  1.474e-07
0.6008  1.425e-07  1.425e-07
0.6124  1.378e-07  1.378e-07
0.6242  1.332e-07  1.332e-07
0.6310  1.306e-07  1.306e-07
0.6362  1.282e-07  1.282e-07
0.6485  1.227e-07  1.227e-07
0.6610  1.175e-07  1.175e-07
0.6737  1.126e-07  1.126e-07
0.6867  1.078e-07  1.078e-07
0.6999  1.032e-07  1.032e-07
0.7079  1.006e-07  1.006e-07
0.7099  1.000e-07  1.000e-07
0.7134  9.914e-08  9.914e-08
0.7271  9.584e-08  9.584e-08
0.7411  9.265e-08  9.265e-08
0.7554  8.957e-08  8.957e-08
0.7700  8.659e-08  8.659e-08
0.7848  8.371e-08  8.371e-08
0.7943  8.193e-08  8.193e-08
0.7999  8.040e-08  8.040e-08
0.8153  7.637e-08  7.637e-08
0.8310  7.254e-08  7.254e-08
0.8470  6.891e-08  6.891e-08
0.8633  6.545e-08  6.545e-08
0.8751  6.310e-08  6.310e-08
0.8799  6.225e-08  6.225e-08
0.8913  6.033e-08  6.033e-08
0.8969  5.917e-08  5.917e-08
0.9142  5.577e-08  5.577e-08
0.9318  5.256e-08  5.256e-08
0.9497  4.955e-08  4.955e-08
0.9680  4.670e-08  4.670e-08
0.9867  4.402e-08  4.402e-08
1.0000  4.222e-08  4.222e-08
1.0056  4.137e-08  4.137e-08
1.0098  4.075e-08  7.023e-02
1.0164  3.981e-08  6.691e-02
1.0244  3.878e-08  6.310e-02
1.0250  3.870e-08  6.284e-02
1.0448  3.630e-08  5.551e-02
1.0649  3.405e-08  4.904e-02
1.0854  3.194e-08  4.332e-02
1.0996  3.058e-08  3.981e-02
1.1063  2.997e-08  3.840e-02
1.1220  2.858e-08  3.532e-02
1.1276  2.822e-08  3.411e-02
1.1493  2.687e-08  2.982e-02
1.1715  2.558e-08  2.607e-02
1.1777  2.523e-08  2.512e-02
1.1798  2.512e-08  2.485e-02
1.1940  2.443e-08  2.315e-02
1.2170  2.337e-08  2.067e-02
1.2405  2.236e-08  1.846e-02
1.2589  2.160e-08  1.691e-02
1.2643  2.143e-08  1.637e-02
1.2698  2.125e-08  1.585e-02
1.2887  2.066e-08  1.432e-02
1.3135  1.993e-08  1.255e-02
1.3388  1.922e-08  1.101e-02
1.3576  1.872e-08  1.000e-02
1.3646  1.854e-08  9.693e-03
1.3909  1.788e-08  8.632e-03
1.4125  1.736e-08  7.858e-03
1.4177  1.733e-08  7.650e-03
1.4450  1.719e-08  6.641e-03
1.4550  1.714e-08  6.310e-03
1.4728  1.705e-08  5.833e-03
1.5011  1.692e-08  5.157e-03
1.5301  1.678e-08  4.559e-03
1.5595  1.664e-08  4.031e-03
1.5625  1.663e-08  3.981e-03
1.5849  1.653e-08  3.653e-03
1.5896  1.669e-08  3.564e-03
1.6000  1.707e-08  3.374e-03
1.6020  1.714e-08  3.339e-03
1.6040  1.721e-08  3.304e-03
1.6060  1.729e-08  3.270e-03
1.6080  1.736e-08  3.236e-03
1.6100  1.743e-08  3.203e-03
1.6120  1.751e-08  3.170e-03
1.6140  1.758e-08  3.137e-03
1.6160  1.765e-08  3.105e-03
1.6180  1.773e-08  3.073e-03
1.6200  1.780e-08  3.041e-03
1.6202  1.781e-08  3.038e-03
1.6220  1.788e-08  3.010e-03
1.6240  1.795e-08  2.979e-03
1.6260  1.803e-08  2.948e-03
1.6280  1.810e-08  2.918e-03
1.6300  1.818e-08  2.888e-03
1.6320  1.825e-08  2.859e-03
1.6340  1.833e-08  2.830e-03
1.6360  1.840e-08  2.801e-03
1.6380  1.848e-08  2.773e-03
1.6400  1.856e-08  2.744e-03
1.6420  1.863e-08  2.717e-03
1.6440  1.871e-08  2.689e-03
1.6460  1.879e-08  2.662e-03
1.6480  1.886e-08  2.635e-03
1.6500  1.894e-08  2.608e-03
1.6514  1.900e-08  2.590e-03
1.6520  1.902e-08  2.582e-03
1.6540  1.910e-08  2.556e-03
1.6560  1.918e-08  2.530e-03
1.6574  1.923e-08  2.512e-03
1.6580  1.925e-08  2.506e-03
1.6600  1.933e-08  2.485e-03
1.6620  1.941e-08  2.464e-03
1.6640  1.949e-08  2.443e-03
1.6660  1.957e-08  2.422e-03
1.6680  1.965e-08  2.401e-03
1.6700  1.973e-08  2.381e-03
1.6720  1.981e-08  2.361e-03
1.6740  1.989e-08  2.341e-03
1.6760  1.997e-08  2.321e-03
1.6780  2.005e-08  2.302e-03
1.6800  2.013e-08  2.283e-03
1.6820  2.021e-08  2.263e-03
1.6832  2.026e-08  2.252e-03
1.6840  2.030e-08  2.244e-03
1.6860  2.038e-08  2.226e-03
1.6880  2.046e-08  2.207e-03
1.6900  2.054e-08  2.189e-03
1.6920  2.062e-08  2.170e-03
1.6940  2.071e-08  2.152e-03
1.6960  2.079e-08  2.134e-03
1.6980  2.087e-08  2.117e-03
1.7000  2.096e-08  2.099e-03
1.7020  2.104e-08  2.082e-03
1.7040  2.112e-08  2.064e-03
1.7060  2.121e-08  2.047e-03
1.7080  2.129e-08  2.030e-03
1.7100  2.138e-08  2.014e-03
1.7120  2.146e-08  1.997e-03
1.7140  2.155e-08  1.981e-03
1.7156  2.162e-08  1.967e-03
1.7160  2.163e-08  1.964e-03
1.7180  2.172e-08  1.948e-03
1.7200  2.180e-08  1.932e-03
1.7220  2.189e-08  1.916e-03
1.7240  2.198e-08  1.901e-03
1.7260  2.206e-08  1.885e-03
1.7280  2.215e-08  1.870e-03
1.7300  2.224e-08  1.854e-03
1.7320  2.232e-08  1.839e-03
1.7340  2.241e-08  1.824e-03
1.7360  2.250e-08  1.809e-03
1.7380  2.259e-08  1.795e-03
1.7400  2.267e-08  1.780e-03
1.7420  2.276e-08  1.766e-03
1.7440  2.285e-08  1.751e-03
1.7460  2.294e-08  1.737e-03
1.7480  2.303e-08  1.723e-03
1.7487  2.306e-08  1.719e-03
1.7500  2.312e-08  1.709e-03
1.7520  2.321e-08  1.696e-03
1.7540  2.330e-08  1.682e-03
1.7560  2.339e-08  1.668e-03
1.7580  2.348e-08  1.655e-03
1.7600  2.357e-08  1.642e-03
1.7620  2.366e-08  1.629e-03
1.7640  2.375e-08  1.616e-03
1.7660  2.384e-08  1.603e-03
1.7680  2.393e-08  1.590e-03
1.7688  2.397e-08  1.585e-03
1.7700  2.402e-08  1.577e-03
1.7720  2.412e-08  1.565e-03
1.7740  2.421e-08  1.553e-03
1.7760  2.430e-08  1.540e-03
1.7780  2.439e-08  1.528e-03
1.7783  2.441e-08  1.527e-03
1.7800  2.469e-08  1.507e-03
1.7820  2.503e-08  1.483e-03
1.7823  2.509e-08  1.480e-03
1.7825  2.512e-08  1.478e-03
1.7840  2.541e-08  1.461e-03
1.7860  2.581e-08  1.438e-03
1.7880  2.621e-08  1.416e-03
1.7900  2.662e-08  1.395e-03
1.7920  2.703e-08  1.373e-03
1.7940  2.745e-08  1.352e-03
1.7960  2.787e-08  1.332e-03
1.7980  2.831e-08  1.312e-03
1.8000  2.874e-08  1.292e-03
1.8020  2.919e-08  1.272e-03
1.8040  2.964e-08  1.253e-03
1.8060  3.009e-08  1.234e-03
1.8080  3.056e-08  1.215e-03
1.8100  3.103e-08  1.197e-03
1.8120  3.150e-08  1.179e-03
1.8140  3.199e-08  1.161e-03
1.8160  3.248e-08  1.143e-03
1.8167  3.264e-08  1.138e-03
1.8180  3.297e-08  1.126e-03
1.8200  3.348e-08  1.109e-03
1.8220  3.399e-08  1.093e-03
1.8240  3.451e-08  1.076e-03
1.8260  3.503e-08  1.060e-03
1.8280  3.557e-08  1.044e-03
1.8300  3.611e-08  1.029e-03
1.8320  3.665e-08  1.013e-03
1.8338  3.714e-08  1.000e-03
1.8340  3.721e-08  9.980e-04
1.8360  3.777e-08  9.816e-04
1.8380  3.835e-08  9.656e-04
1.8400  3.893e-08  9.498e-04
1.8420  3.951e-08  9.342e-04
1.8430  3.981e-08  9.266e-04
1.8440  4.012e-08  9.190e-04
1.8460  4.076e-08  9.040e-04
1.8480  4.140e-08  8.893e-04
1.8500  4.205e-08  8.748e-04
1.8516  4.260e-08  8.631e-04
1.8520  4.272e-08  8.606e-04
1.8540  4.339e-08  8.466e-04
1.8560  4.407e-08  8.328e-04
1.8580  4.476e-08  8.193e-04
1.8600  4.547e-08  8.061e-04
1.8620  4.618e-08  7.930e-04
1.8640  4.690e-08  7.802e-04
1.8660  4.763e-08  7.676e-04
