# SHiP HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# Where the SHiP contour upper crossing exceeds the plotted ceiling
# (U²>1e-2), the upper edge is clipped to sentinel value 1.0e-1.
# mass_GeV  u2_min  u2_max
0.0916  1.155e-06  9.761e-04
0.0930  1.109e-06  9.761e-04
0.1000  8.962e-07  9.759e-04
0.1019  8.471e-07  9.759e-04
0.1039  8.010e-07  9.759e-04
0.1059  7.572e-07  9.758e-04
0.1079  7.159e-07  9.758e-04
0.1100  6.768e-07  9.758e-04
0.1121  6.398e-07  9.757e-04
0.1143  6.048e-07  9.757e-04
0.1165  5.718e-07  9.757e-04
0.1187  5.407e-07  9.756e-04
0.1210  5.111e-07  9.756e-04
0.1234  4.832e-07  9.755e-04
0.1257  4.569e-07  9.755e-04
0.1274  4.396e-07  9.755e-04
0.1281  4.316e-07  9.755e-04
0.1306  4.071e-07  9.754e-04
0.1310  4.030e-07  9.754e-04
0.1331  3.318e-07  9.754e-04
0.1333  3.252e-07  9.754e-04
0.1357  2.611e-07  9.754e-04
0.1383  2.051e-07  9.753e-04
0.1410  1.613e-07  9.753e-04
0.1437  1.269e-07  9.753e-04
0.1464  9.970e-08  9.752e-04
0.1493  7.837e-08  9.752e-04
0.1508  6.895e-08  9.752e-04
0.1522  6.423e-08  9.751e-04
0.1551  5.522e-08  9.751e-04
0.1581  4.749e-08  9.751e-04
0.1606  4.193e-08  9.750e-04
0.1611  4.110e-08  9.750e-04
0.1642  3.674e-08  9.750e-04
0.1674  3.284e-08  9.750e-04
0.1697  3.028e-08  9.749e-04
0.1706  2.952e-08  9.749e-04
0.1739  2.694e-08  9.749e-04
0.1767  2.492e-08  9.749e-04
0.1772  2.461e-08  9.749e-04
0.1806  2.258e-08  9.748e-04
0.1815  2.211e-08  9.748e-04
0.1841  2.095e-08  9.748e-04
0.1877  1.952e-08  9.747e-04
0.1913  1.819e-08  9.747e-04
0.1950  1.694e-08  9.747e-04
0.1987  1.578e-08  9.746e-04
0.2026  1.470e-08  9.746e-04
0.2064  1.369e-08  9.746e-04
0.2075  1.343e-08  9.745e-04
0.2104  1.282e-08  9.745e-04
0.2145  1.202e-08  9.745e-04
0.2186  1.127e-08  9.744e-04
0.2228  1.057e-08  9.744e-04
0.2271  9.912e-09  9.744e-04
0.2297  9.542e-09  9.744e-04
0.2315  9.216e-09  9.743e-04
0.2359  8.467e-09  9.743e-04
0.2405  7.779e-09  9.743e-04
0.2451  7.147e-09  9.742e-04
0.2498  6.567e-09  9.742e-04
0.2500  6.548e-09  9.742e-04
0.2520  6.320e-09  9.742e-04
0.2540  6.102e-09  9.742e-04
0.2546  6.033e-09  9.742e-04
0.2560  5.893e-09  9.741e-04
0.2580  5.693e-09  9.741e-04
0.2596  5.543e-09  9.741e-04
0.2600  5.501e-09  9.741e-04
0.2620  5.317e-09  9.741e-04
0.2640  5.140e-09  9.741e-04
0.2646  5.092e-09  9.741e-04
0.2660  4.971e-09  9.741e-04
0.2680  4.808e-09  9.741e-04
0.2687  4.757e-09  9.741e-04
0.2697  4.694e-09  9.740e-04
0.2700  4.672e-09  9.740e-04
0.2720  4.550e-09  9.740e-04
0.2740  4.432e-09  9.740e-04
0.2748  4.383e-09  9.740e-04
0.2760  4.318e-09  9.740e-04
0.2780  4.207e-09  9.740e-04
0.2800  4.100e-09  9.740e-04
0.2801  4.093e-09  9.740e-04
0.2820  3.997e-09  9.740e-04
0.2840  3.897e-09  9.739e-04
0.2855  3.822e-09  9.739e-04
0.2860  3.800e-09  9.739e-04
0.2877  3.721e-09  9.739e-04
0.2880  3.709e-09  9.739e-04
0.2900  3.633e-09  9.739e-04
0.2910  3.595e-09  9.739e-04
0.2920  3.560e-09  9.739e-04
0.2940  3.489e-09  9.739e-04
0.2960  3.419e-09  9.739e-04
0.2966  3.398e-09  9.739e-04
0.2980  3.352e-09  9.739e-04
0.3000  3.286e-09  9.738e-04
0.3020  3.222e-09  9.738e-04
0.3024  3.211e-09  9.738e-04
0.3040  3.160e-09  9.738e-04
0.3060  3.099e-09  9.738e-04
0.3080  3.040e-09  9.738e-04
0.3082  3.035e-09  9.738e-04
0.3100  2.982e-09  9.738e-04
0.3102  2.976e-09  9.738e-04
0.3120  2.934e-09  9.738e-04
0.3140  2.889e-09  9.738e-04
0.3141  2.886e-09  9.738e-04
0.3160  2.844e-09  9.737e-04
0.3180  2.800e-09  9.737e-04
0.3200  2.757e-09  9.737e-04
0.3202  2.754e-09  9.737e-04
0.3220  2.716e-09  9.737e-04
0.3240  2.675e-09  9.737e-04
0.3260  2.635e-09  9.737e-04
0.3263  2.628e-09  9.737e-04
0.3280  2.595e-09  9.737e-04
0.3300  2.557e-09  9.737e-04
0.3320  2.519e-09  9.737e-04
0.3326  2.508e-09  9.736e-04
0.3340  2.482e-09  9.736e-04
0.3360  2.446e-09  9.736e-04
0.3380  2.411e-09  9.736e-04
0.3390  2.393e-09  9.736e-04
0.3400  2.376e-09  9.736e-04
0.3420  2.342e-09  9.736e-04
0.3427  2.331e-09  9.736e-04
0.3440  2.312e-09  9.736e-04
0.3456  2.291e-09  9.736e-04
0.3460  2.285e-09  9.736e-04
0.3480  2.257e-09  9.736e-04
0.3500  2.230e-09  9.735e-04
0.3520  2.204e-09  9.735e-04
0.3522  2.201e-09  9.735e-04
0.3540  2.178e-09  9.735e-04
0.3560  2.153e-09  9.735e-04
0.3580  2.128e-09  9.735e-04
0.3590  2.116e-09  9.735e-04
0.3600  2.103e-09  9.735e-04
0.3620  2.079e-09  9.735e-04
0.3640  2.055e-09  9.735e-04
0.3659  2.033e-09  9.735e-04
0.3660  2.032e-09  9.735e-04
0.3680  2.009e-09  9.735e-04
0.3700  1.986e-09  9.734e-04
0.3720  1.964e-09  9.734e-04
0.3729  1.954e-09  9.734e-04
0.3740  1.942e-09  9.734e-04
0.3760  1.921e-09  9.734e-04
0.3780  1.900e-09  9.734e-04
0.3800  1.879e-09  9.734e-04
0.3801  1.877e-09  9.734e-04
0.3809  1.870e-09  9.734e-04
0.3820  1.859e-09  9.734e-04
0.3840  1.840e-09  9.734e-04
0.3860  1.821e-09  9.734e-04
0.3875  1.807e-09  9.734e-04
0.3880  1.802e-09  9.734e-04
0.3900  1.784e-09  9.733e-04
0.3920  1.766e-09  9.733e-04
0.3940  1.748e-09  9.733e-04
0.3949  1.740e-09  9.733e-04
0.3960  1.730e-09  9.733e-04
0.3980  1.713e-09  9.733e-04
0.4000  1.696e-09  9.733e-04
0.4020  1.679e-09  9.733e-04
0.4025  1.675e-09  9.733e-04
0.4040  1.663e-09  9.733e-04
0.4060  1.647e-09  9.733e-04
0.4080  1.630e-09  9.733e-04
0.4100  1.615e-09  9.732e-04
0.4103  1.613e-09  9.732e-04
0.4120  1.599e-09  9.732e-04
0.4140  1.584e-09  9.732e-04
0.4160  1.569e-09  9.732e-04
0.4180  1.554e-09  9.732e-04
0.4182  1.553e-09  9.732e-04
0.4200  1.539e-09  9.732e-04
0.4220  1.525e-09  9.732e-04
0.4240  1.510e-09  9.732e-04
0.4260  1.496e-09  9.732e-04
0.4262  1.495e-09  9.732e-04
0.4280  1.482e-09  9.732e-04
0.4300  1.469e-09  9.732e-04
0.4320  1.455e-09  9.731e-04
0.4340  1.442e-09  9.731e-04
0.4344  1.439e-09  9.731e-04
0.4360  1.429e-09  9.731e-04
0.4380  1.416e-09  9.731e-04
0.4400  1.403e-09  9.731e-04
0.4420  1.390e-09  9.731e-04
0.4428  1.385e-09  9.731e-04
0.4440  1.378e-09  9.731e-04
0.4460  1.366e-09  9.731e-04
0.4480  1.354e-09  9.731e-04
0.4500  1.342e-09  9.731e-04
0.4513  1.334e-09  9.731e-04
0.4518  1.331e-09  9.731e-04
0.4600  1.289e-09  9.730e-04
0.4689  1.246e-09  9.730e-04
0.4779  1.205e-09  9.730e-04
0.4871  1.165e-09  9.729e-04
0.4965  1.126e-09  9.729e-04
0.5061  1.089e-09  9.728e-04
0.5158  1.053e-09  9.728e-04
0.5257  1.018e-09  9.728e-04
0.5359  9.841e-10  9.727e-04
0.5462  9.514e-10  9.727e-04
0.5567  9.198e-10  9.727e-04
0.5674  8.893e-10  9.726e-04
0.5784  8.598e-10  9.726e-04
0.5836  8.461e-10  9.726e-04
0.5895  8.307e-10  9.726e-04
0.6008  8.022e-10  9.725e-04
0.6124  7.747e-10  9.725e-04
0.6242  7.482e-10  9.724e-04
0.6362  7.225e-10  9.724e-04
0.6485  6.978e-10  9.724e-04
0.6596  6.763e-10  9.723e-04
0.6610  6.736e-10  9.723e-04
0.6737  6.487e-10  9.723e-04
0.6867  6.246e-10  9.723e-04
0.6999  6.015e-10  9.722e-04
0.7134  5.792e-10  9.722e-04
0.7215  5.664e-10  9.722e-04
0.7271  5.568e-10  9.722e-04
0.7411  5.341e-10  9.721e-04
0.7554  5.123e-10  9.721e-04
0.7665  4.963e-10  9.721e-04
0.7700  4.908e-10  9.720e-04
0.7848  4.682e-10  9.720e-04
0.7999  4.467e-10  9.720e-04
0.8153  4.262e-10  9.719e-04
0.8292  4.088e-10  9.719e-04
0.8310  4.064e-10  9.719e-04
0.8470  3.857e-10  9.719e-04
0.8633  3.661e-10  9.718e-04
0.8756  3.523e-10  9.718e-04
0.8799  3.469e-10  9.718e-04
0.8969  3.273e-10  9.718e-04
0.9142  3.087e-10  9.717e-04
0.9318  2.912e-10  9.717e-04
0.9497  2.747e-10  9.716e-04
0.9680  2.591e-10  9.716e-04
0.9867  2.444e-10  9.716e-04
1.0002  2.344e-10  9.715e-04
1.0056  2.305e-10  9.715e-04
1.0250  2.173e-10  9.715e-04
1.0448  2.049e-10  9.715e-04
1.0649  1.932e-10  9.714e-04
1.0854  1.821e-10  9.714e-04
1.0985  1.755e-10  9.714e-04
1.1063  1.720e-10  9.714e-04
1.1276  1.628e-10  9.713e-04
1.1493  1.540e-10  9.713e-04
1.1715  1.458e-10  9.712e-04
1.1848  1.411e-10  9.712e-04
1.1940  1.381e-10  9.712e-04
1.2170  1.310e-10  9.712e-04
1.2405  1.243e-10  9.711e-04
1.2546  1.204e-10  9.711e-04
1.2643  1.182e-10  9.711e-04
1.2887  1.128e-10  9.711e-04
1.3135  1.077e-10  9.710e-04
1.3211  1.062e-10  9.710e-04
1.3388  1.033e-10  9.710e-04
1.3646  9.925e-11  9.710e-04
1.3844  9.630e-11  9.709e-04
1.3909  9.554e-11  9.709e-04
1.4177  9.250e-11  9.709e-04
1.4450  8.956e-11  9.708e-04
1.4476  8.928e-11  9.708e-04
1.4728  8.729e-11  9.708e-04
1.5011  8.514e-11  9.708e-04
1.5037  8.496e-11  9.708e-04
1.5301  8.403e-11  9.707e-04
1.5461  8.347e-11  9.707e-04
1.5595  8.340e-11  9.707e-04
1.5840  8.328e-11  9.707e-04
1.5896  8.342e-11  9.707e-04
1.6000  8.369e-11  9.707e-04
1.6020  8.374e-11  9.706e-04
1.6040  8.379e-11  9.706e-04
1.6060  8.384e-11  9.706e-04
1.6080  8.389e-11  9.706e-04
1.6100  8.394e-11  9.706e-04
1.6120  8.399e-11  9.706e-04
1.6140  8.404e-11  9.706e-04
1.6160  8.409e-11  9.706e-04
1.6180  8.414e-11  9.706e-04
1.6200  8.419e-11  9.706e-04
1.6202  8.420e-11  9.706e-04
1.6220  8.424e-11  9.706e-04
1.6228  8.426e-11  9.706e-04
1.6240  8.434e-11  9.706e-04
1.6260  8.446e-11  9.706e-04
1.6280  8.459e-11  9.706e-04
1.6300  8.471e-11  9.706e-04
1.6320  8.484e-11  9.706e-04
1.6340  8.497e-11  9.706e-04
