# "Currently excluded" gray region from BC7 fig
# Extracted from arXiv:2505.00947v2 / Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# Date: 2026-06-06
# Format: subpaths separated by blank line; each row is "mass_GeV  U2"
# Source experiments per caption: NuTeV, BEBC, T2K, NA62, E949,
# MicroBooNE, CMS, ATLAS, CHARM-II, DELPHI, KOTO, LHCb, BelleII, plus
# reinterpretations of PS191, CHARM, LSND.
# mass_GeV  U2
# subpath 0: 206 vertices
1.00000e-01  1.00000e+00
1.00000e-01  1.00000e+00
1.00000e-01  2.88690e-06
1.12562e-01  2.00634e-06
1.31475e-01  1.06991e-06
1.39489e-01  8.48693e-07
1.39489e-01  7.19131e-07
1.49090e-01  5.51873e-07
1.50196e-01  2.18261e-07
1.61726e-01  1.41932e-07
1.82042e-01  6.62814e-08
1.84755e-01  4.30896e-08
1.88900e-01  1.94578e-08
1.91715e-01  1.30757e-08
1.93138e-01  1.49291e-08
1.96016e-01  1.22386e-08
1.98937e-01  1.26518e-08
2.01901e-01  1.18415e-08
2.06431e-01  1.76244e-08
2.07964e-01  2.37479e-08
2.15798e-01  1.70537e-08
2.19014e-01  1.44513e-08
2.22277e-01  9.71124e-09
2.27264e-01  3.84099e-09
2.32363e-01  5.90936e-09
2.37576e-01  6.10907e-09
2.39340e-01  1.26630e-08
2.44710e-01  1.18524e-08
2.50200e-01  6.97648e-09
2.53928e-01  5.00936e-09
2.53928e-01  2.41677e-09
2.57712e-01  1.85421e-09
2.61553e-01  7.21302e-09
2.67421e-01  5.17940e-09
2.77495e-01  6.75249e-09
2.81630e-01  1.33186e-09
2.83721e-01  1.16659e-09
2.87948e-01  1.47120e-09
2.85827e-01  3.59869e-09
2.92239e-01  3.36832e-09
2.94409e-01  2.76120e-09
2.98796e-01  2.95057e-09
3.33852e-01  1.47224e-09
3.59480e-01  9.26176e-10
3.73022e-01  8.11366e-10
3.81391e-01  7.85009e-10
3.81391e-01  1.04034e-08
3.84222e-01  2.63069e-08
3.87074e-01  1.79729e-07
